ILEADSAddress,ILEADSStreet,CITY,STATE,fullSearch,lat,lon,lat_lon_combo
0,N PRAIRIE AVE / ASHL,St. Louis,MO,"0 N PRAIRIE AVE / ASHL, St. Louis, MO",,,"38.6606101,-90.2240607"
2021,E GRAND BLVD,St. Louis,MO,"2021 E GRAND BLVD, St. Louis, MO",,,"38.6703415,-90.2116274"
0,N 19TH ST / DELMAR B,St. Louis,MO,"0 N 19TH ST / DELMAR B, St. Louis, MO",,,"38.6352688,-90.2079133"
0,N EUCLID AVE / LEXIN,St. Louis,MO,"0 N EUCLID AVE / LEXIN, St. Louis, MO",,,"38.6737625,-90.2523879"
0,MIAMI ST / ROGER PL,St. Louis,MO,"0 MIAMI ST / ROGER PL, St. Louis, MO",,,"38.5930063,-90.2562548"
4205,E SAN FRANCISCO AVE,St. Louis,MO,"4205 E SAN FRANCISCO AVE, St. Louis, MO",,,"38.6688865,-90.2316108"
0,N BROADWAY / GRAPE A,St. Louis,MO,"0 N BROADWAY / GRAPE A, St. Louis, MO",,,"38.7157523,-90.2319505"
5527,ORIOLE ST,St. Louis,MO,"5527 ORIOLE ST, St. Louis, MO",,,"38.7043743,-90.251026"
0,POTOMAC ST / CALIFOR,St. Louis,MO,"0 POTOMAC ST / CALIFOR, St. Louis, MO",,,"38.5920508,-90.2326015"
5861,DEGIVERVILLE AVE,St. Louis,MO,"5861 DEGIVERVILLE AVE, St. Louis, MO",,,"38.6523575,-90.2931226"
4132,W CARTER AVE,St. Louis,MO,"4132 W CARTER AVE, St. Louis, MO",,,"38.6730253,-90.2248046"
0,MERAMEC ST / NEBRASK,St. Louis,MO,"0 MERAMEC ST / NEBRASK, St. Louis, MO",,,"38.5798135,-90.237439"
0,I 70 WESTBOUND / SAL,St. Louis,MO,"0 I 70 WESTBOUND / SAL, St. Louis, MO",,,NA
